,Ward Code,Ward Name,District Code,District Name,Province/City Code,Province/City Name,Latitude,Longitude
56,26893,Phường 04,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,823177","106,685784"
57,26896,Phường 01,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,816703","106,687403"
58,26897,Phường 9,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,846447","106,651491"
59,26898,Phường 8,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,840635","106,649566"
60,26899,Phường 11,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,839879","106,661248"
61,26902,Phường 03,764,Quận Gò Vấp,79,Thành phố Hồ Chí Minh,"10,818331","106,679488"
62,26905,Phường 13,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,826766","106,704274"
63,26908,Phường 11,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,81562","106,695716"
64,26911,Phường 27,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,817082","106,721277"
65,26914,Phường 26,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,81333","106,711019"
66,26917,Phường 12,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,811706","106,702405"
67,26920,Phường 25,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,804846","106,718618"
68,26923,Phường 05,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,811982","106,687672"
69,26926,Phường 07,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,807522","106,692541"
70,26929,Phường 24,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,805822","106,705696"
71,26932,Phường 06,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,807359","106,686812"
72,26935,Phường 14,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,804538","106,698273"
73,26938,Phường 15,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,79856","106,704125"
74,26941,Phường 02,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,79721","106,686429"
75,26944,Phường 01,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,797914","106,697432"
76,26947,Phường 03,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,798524","106,6949"
77,26950,Phường 17,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,796017","106,706852"
78,26953,Phường 21,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,796978","106,712167"
79,26956,Phường 22,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,793551","106,719044"
80,26959,Phường 19,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,791004","106,710051"
81,26962,Phường 28,765,Quận Bình Thạnh,79,Thành phố Hồ Chí Minh,"10,822367","106,741468"
82,26965,Phường 02,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,808066","106,667205"
83,26968,Phường 04,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,803342","106,657914"
84,26971,Phường 12,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,80121","106,650327"
85,26974,Phường 13,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,803875","106,642889"
86,26977,Phường 01,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,796352","106,666675"
87,26980,Phường 03,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,793967","106,662766"
88,26983,Phường 11,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,789541","106,649065"
89,26986,Phường 07,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,788543","106,656124"
90,26989,Phường 05,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,790288","106,661846"
91,26992,Phường 10,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,782678","106,64703"
92,26995,Phường 06,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,784085","106,658897"
93,26998,Phường 08,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,783331","106,652736"
94,27001,Phường 09,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,776162","106,65174"
95,27004,Phường 14,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,796394","106,641149"
96,27007,Phường 15,766,Quận Tân Bình,79,Thành phố Hồ Chí Minh,"10,821251","106,637359"
97,27010,Phường Tân Sơn Nhì,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,799215","106,632088"
98,27013,Phường Tây Thạnh,767,Quận Tân Phú,79,Thành phố Hồ Chí Minh,"10,813199","106,624782"
