,District Code,District Name,Ward Code,Ward Name,District Population,District Acreage (Km2),District Latitude,District Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
34,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4f805d18e4b01e69d6db84ac,Family mart,10.7891735811612,106.68892760036051,Short Term Servicecs
35,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5c136fc2e7a237002cb12f69,81cafe & bia,10.79131,106.691246,Short Term Servicecs
36,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5e4011446dee0c000807389f,PK Maltroom,10.79301,106.689011,Short Term Servicecs
37,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,54d21de8498e7efd04969aa3,Mary Jane's The Bar,10.790237219487615,106.69069531234013,Short Term Servicecs
38,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5c3d3c1167f62b00396e99db,Hỉ Tíu Nam Vang Thành Đạt,10.791373,106.6913,Short Term Servicecs
39,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,50245d95e4b0566a9cb75e8a,Bánh Ướt Chằm Quằm,10.794413,106.690929,Short Term Servicecs
40,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,513b50b4e4b0e5f9da45d43c,Ngư Ký Mì Gia,10.790099244679231,106.68912337232167,Short Term Servicecs
41,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,51b5a605498e537e293228c9,Bún Đậu Nàng's Quán,10.79273,106.693707,Short Term Servicecs
42,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,59901351419a9e6164773ca2,Le Petit,10.794287,106.690128,Short Term Servicecs
43,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5e1aedf4907d980007644b38,Daddy's Rooftop,10.789614,106.691608,Short Term Servicecs
44,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4f52ce52e4b07de37c051143,Minh Ký Mì Gia,10.795230451073495,106.68888153639504,Short Term Servicecs
45,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,562d9909498efb84a847e083,Highlands Coffee,10.791881,106.691607,Short Term Servicecs
46,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4c428952cc410f47f20cad61,Bản Sonate,10.79238442906386,106.68865075423189,Short Term Servicecs
