Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp,Tên Tiếng Anh,Latitude,Longitude
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 14,26882,Phường,,"10,847488","106,641548"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 10,26884,Phường,,"10,833186","106,67155"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 05,26887,Phường,,"10,828368","106,69188"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 07,26890,Phường,,"10,828768","106,683457"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 04,26893,Phường,,"10,823177","106,685784"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 01,26896,Phường,,"10,816703","106,687403"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 9,26897,Phường,,"10,846447","106,651491"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 8,26898,Phường,,"10,840635","106,649566"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 11,26899,Phường,,"10,839879","106,661248"
Thành phố Hồ Chí Minh,79,Quận Gò Vấp,764,Phường 03,26902,Phường,,"10,818331","106,679488"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 13,26905,Phường,,"10,826766","106,704274"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 11,26908,Phường,,"10,81562","106,695716"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 27,26911,Phường,,"10,817082","106,721277"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 26,26914,Phường,,"10,81333","106,711019"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 12,26917,Phường,,"10,811706","106,702405"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 25,26920,Phường,,"10,804846","106,718618"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 05,26923,Phường,,"10,811982","106,687672"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 07,26926,Phường,,"10,807522","106,692541"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 24,26929,Phường,,"10,805822","106,705696"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 06,26932,Phường,,"10,807359","106,686812"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 14,26935,Phường,,"10,804538","106,698273"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 15,26938,Phường,,"10,79856","106,704125"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 02,26941,Phường,,"10,79721","106,686429"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 01,26944,Phường,,"10,797914","106,697432"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 03,26947,Phường,,"10,798524","106,6949"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 17,26950,Phường,,"10,796017","106,706852"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 21,26953,Phường,,"10,796978","106,712167"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 22,26956,Phường,,"10,793551","106,719044"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 19,26959,Phường,,"10,791004","106,710051"
Thành phố Hồ Chí Minh,79,Quận Bình Thạnh,765,Phường 28,26962,Phường,,"10,822367","106,741468"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 02,26965,Phường,,"10,808066","106,667205"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 04,26968,Phường,,"10,803342","106,657914"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 12,26971,Phường,,"10,80121","106,650327"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 13,26974,Phường,,"10,803875","106,642889"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 01,26977,Phường,,"10,796352","106,666675"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 03,26980,Phường,,"10,793967","106,662766"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 11,26983,Phường,,"10,789541","106,649065"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 07,26986,Phường,,"10,788543","106,656124"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 05,26989,Phường,,"10,790288","106,661846"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 10,26992,Phường,,"10,782678","106,64703"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 06,26995,Phường,,"10,784085","106,658897"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 08,26998,Phường,,"10,783331","106,652736"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 09,27001,Phường,,"10,776162","106,65174"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 14,27004,Phường,,"10,796394","106,641149"
Thành phố Hồ Chí Minh,79,Quận Tân Bình,766,Phường 15,27007,Phường,,"10,821251","106,637359"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Tân Sơn Nhì,27010,Phường,,"10,799215","106,632088"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Tây Thạnh,27013,Phường,,"10,813199","106,624782"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Sơn Kỳ,27016,Phường,,"10,804389","106,617572"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Tân Quý,27019,Phường,,"10,79404","106,622143"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Tân Thành,27022,Phường,,"10,791069","106,634543"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Phú Thọ Hòa,27025,Phường,,"10,785725","106,627722"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Phú Thạnh,27028,Phường,,"10,779833","106,62682"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Phú Trung,27031,Phường,,"10,775575","106,641497"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Hòa Thạnh,27034,Phường,,"10,778168","106,636949"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Hiệp Tân,27037,Phường,,"10,771676","106,627368"
Thành phố Hồ Chí Minh,79,Quận Tân Phú,767,Phường Tân Thới Hòa,27040,Phường,,"10,763702","106,631026"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 04,27043,Phường,,"10,807371","106,679601"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 05,27046,Phường,,"10,806191","106,683726"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 09,27049,Phường,,"10,805045","106,674535"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 07,27052,Phường,,"10,80004","106,689785"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 03,27055,Phường,,"10,802303","106,681571"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 01,27058,Phường,,"10,798703","106,682806"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 02,27061,Phường,,"10,797453","106,686837"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 08,27064,Phường,,"10,797936","106,674385"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 15,27067,Phường,,"10,796003","106,680501"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 10,27070,Phường,,"10,795363","106,671279"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 11,27073,Phường,,"10,793076","106,674891"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 17,27076,Phường,,"10,793462","106,682755"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 14,27079,Phường,,"10,788802","106,679615"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 12,27082,Phường,,"10,792345","106,677841"
Thành phố Hồ Chí Minh,79,Quận Phú Nhuận,768,Phường 13,27085,Phường,,"10,789985","106,670642"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Thảo Điền,27088,Phường,,"10,807108","106,733744"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường An Phú,27091,Phường,,"10,798183","106,759131"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Bình An,27094,Phường,,"10,790942","106,730933"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Bình Trưng Đông,27097,Phường,,"10,784168","106,779095"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Bình Trưng Tây,27100,Phường,,"10,78492","106,758644"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Bình Khánh,27103,Phường,,"10,782474","106,737542"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường An Khánh,27106,Phường,,"10,780012","106,718935"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Cát Lái,27109,Phường,,"10,768096","106,779429"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Thạnh Mỹ Lợi,27112,Phường,,"10,762046","106,765287"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường An Lợi Đông,27115,Phường,,"10,768897","106,727221"
Thành phố Hồ Chí Minh,79,Quận 2,769,Phường Thủ Thiêm,27118,Phường,,"10,772803","106,717324"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 08,27121,Phường,,"10,789182","106,687349"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 07,27124,Phường,,"10,781612","106,686571"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 14,27127,Phường,,"10,788624","106,681323"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 12,27130,Phường,,"10,78812","106,674247"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 11,27133,Phường,,"10,786502","106,670179"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 13,27136,Phường,,"10,786052","106,678566"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 06,27139,Phường,,"10,780201","106,691845"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 09,27142,Phường,,"10,782375","106,681742"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 10,27145,Phường,,"10,781393","106,676049"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 04,27148,Phường,,"10,773671","106,683226"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 05,27151,Phường,,"10,772081","106,686101"
Thành phố Hồ Chí Minh,79,Quận 3,770,Phường 03,27154,Phường,,"10,770351","106,679357"
